epoch: 0	train ppl: 319.8498681159086	val ppl: 175.78713339572525	best val: 175.78713339572525	time (s) spent in epoch: 14.871416568756104
epoch: 1	train ppl: 124.05908273518531	val ppl: 137.87483381336259	best val: 137.87483381336259	time (s) spent in epoch: 14.868672370910645
epoch: 2	train ppl: 81.06455050213602	val ppl: 132.49601536410745	best val: 132.49601536410745	time (s) spent in epoch: 14.90871524810791
epoch: 3	train ppl: 58.84136791816575	val ppl: 136.74806104414571	best val: 132.49601536410745	time (s) spent in epoch: 14.941365480422974
epoch: 4	train ppl: 44.692172816086334	val ppl: 148.90651120014104	best val: 132.49601536410745	time (s) spent in epoch: 14.953571319580078
epoch: 5	train ppl: 34.818673479782404	val ppl: 166.60021820089327	best val: 132.49601536410745	time (s) spent in epoch: 14.959633111953735
epoch: 6	train ppl: 27.74907429830644	val ppl: 190.27033343701618	best val: 132.49601536410745	time (s) spent in epoch: 15.000464677810669
epoch: 7	train ppl: 22.48951394177491	val ppl: 223.29461180633575	best val: 132.49601536410745	time (s) spent in epoch: 15.064390659332275
epoch: 8	train ppl: 18.595130213554278	val ppl: 261.55936330608614	best val: 132.49601536410745	time (s) spent in epoch: 15.075726509094238
epoch: 9	train ppl: 15.711535698757976	val ppl: 303.1287615149722	best val: 132.49601536410745	time (s) spent in epoch: 15.058362007141113
epoch: 10	train ppl: 13.435991097776741	val ppl: 349.0413395103146	best val: 132.49601536410745	time (s) spent in epoch: 15.065394163131714
epoch: 11	train ppl: 11.695749258586307	val ppl: 407.83352827517973	best val: 132.49601536410745	time (s) spent in epoch: 15.117474794387817
epoch: 12	train ppl: 10.362889956183544	val ppl: 468.5893823950269	best val: 132.49601536410745	time (s) spent in epoch: 15.117283344268799
epoch: 13	train ppl: 9.284456659837254	val ppl: 542.5513517004306	best val: 132.49601536410745	time (s) spent in epoch: 15.13431191444397
epoch: 14	train ppl: 8.416942096689057	val ppl: 617.7790633362722	best val: 132.49601536410745	time (s) spent in epoch: 15.10097599029541
epoch: 15	train ppl: 7.719192331125214	val ppl: 708.4632954708579	best val: 132.49601536410745	time (s) spent in epoch: 15.445903062820435
epoch: 16	train ppl: 7.121830778753552	val ppl: 788.5917162942494	best val: 132.49601536410745	time (s) spent in epoch: 15.980843305587769
epoch: 17	train ppl: 6.622045790268609	val ppl: 886.7018701772978	best val: 132.49601536410745	time (s) spent in epoch: 15.097567081451416
epoch: 18	train ppl: 6.21031292686883	val ppl: 999.876334528639	best val: 132.49601536410745	time (s) spent in epoch: 15.080158710479736
epoch: 19	train ppl: 5.838766619059204	val ppl: 1122.3250450521157	best val: 132.49601536410745	time (s) spent in epoch: 15.104945421218872
epoch: 20	train ppl: 5.526629867498172	val ppl: 1266.731183886526	best val: 132.49601536410745	time (s) spent in epoch: 15.097516775131226
epoch: 21	train ppl: 5.255003612938534	val ppl: 1386.621164659161	best val: 132.49601536410745	time (s) spent in epoch: 15.14104175567627
epoch: 22	train ppl: 5.016889533514237	val ppl: 1512.0198907230808	best val: 132.49601536410745	time (s) spent in epoch: 15.092246770858765
epoch: 23	train ppl: 4.796150549860857	val ppl: 1677.981782280531	best val: 132.49601536410745	time (s) spent in epoch: 15.10256552696228
epoch: 24	train ppl: 4.621382094226382	val ppl: 1870.0285176599511	best val: 132.49601536410745	time (s) spent in epoch: 15.098197937011719
epoch: 25	train ppl: 4.44185438230639	val ppl: 2064.1445213815637	best val: 132.49601536410745	time (s) spent in epoch: 15.121250629425049
epoch: 26	train ppl: 4.29297484930294	val ppl: 2286.0847670484663	best val: 132.49601536410745	time (s) spent in epoch: 15.107560396194458
epoch: 27	train ppl: 4.143788327925466	val ppl: 2485.538107257691	best val: 132.49601536410745	time (s) spent in epoch: 15.128066539764404
epoch: 28	train ppl: 4.025757993328865	val ppl: 2722.099743155877	best val: 132.49601536410745	time (s) spent in epoch: 15.169820070266724
epoch: 29	train ppl: 3.9087484643507646	val ppl: 2969.9367312341533	best val: 132.49601536410745	time (s) spent in epoch: 15.114804029464722
epoch: 30	train ppl: 3.8033681921350855	val ppl: 3124.9671286806893	best val: 132.49601536410745	time (s) spent in epoch: 15.077384233474731
epoch: 31	train ppl: 3.701878802462518	val ppl: 3452.376458373862	best val: 132.49601536410745	time (s) spent in epoch: 15.12990117073059
epoch: 32	train ppl: 3.6247023542767116	val ppl: 3692.8724506196645	best val: 132.49601536410745	time (s) spent in epoch: 15.102656364440918
epoch: 33	train ppl: 3.5338869211725648	val ppl: 3970.9667589852806	best val: 132.49601536410745	time (s) spent in epoch: 15.095722675323486
epoch: 34	train ppl: 3.4677681907793834	val ppl: 4208.269471839475	best val: 132.49601536410745	time (s) spent in epoch: 15.085643291473389
epoch: 35	train ppl: 3.3874261028305543	val ppl: 4512.565486279936	best val: 132.49601536410745	time (s) spent in epoch: 15.104948282241821
epoch: 36	train ppl: 3.317634261150659	val ppl: 4704.240773713986	best val: 132.49601536410745	time (s) spent in epoch: 15.112521409988403
epoch: 37	train ppl: 3.2608746255286154	val ppl: 4954.775734836736	best val: 132.49601536410745	time (s) spent in epoch: 15.083097219467163
epoch: 38	train ppl: 3.2052472136336965	val ppl: 5222.92106661416	best val: 132.49601536410745	time (s) spent in epoch: 15.100618362426758
epoch: 39	train ppl: 3.143319198896178	val ppl: 5567.493924271554	best val: 132.49601536410745	time (s) spent in epoch: 15.086765766143799
