epoch: 0	train ppl: 4725.025733120367	val ppl: 1372.1279798580179	best val: 1372.1279798580179	time (s) spent in epoch: 30.146386861801147
epoch: 1	train ppl: 1073.813050063119	val ppl: 627.7524020238551	best val: 627.7524020238551	time (s) spent in epoch: 30.42016911506653
epoch: 2	train ppl: 566.0019160953127	val ppl: 414.3921188788991	best val: 414.3921188788991	time (s) spent in epoch: 30.321413278579712
epoch: 3	train ppl: 341.24901314194784	val ppl: 310.93806495064354	best val: 310.93806495064354	time (s) spent in epoch: 30.443150520324707
epoch: 4	train ppl: 238.2984790266956	val ppl: 231.4933758965831	best val: 231.4933758965831	time (s) spent in epoch: 30.234490394592285
epoch: 5	train ppl: 183.59846653467065	val ppl: 195.0838765790696	best val: 195.0838765790696	time (s) spent in epoch: 30.30473566055298
epoch: 6	train ppl: 147.5541770824552	val ppl: 180.8146894355826	best val: 180.8146894355826	time (s) spent in epoch: 30.536019563674927
epoch: 7	train ppl: 121.50204602233664	val ppl: 167.00195917707967	best val: 167.00195917707967	time (s) spent in epoch: 30.21346950531006
epoch: 8	train ppl: 101.39980779747928	val ppl: 159.26364313526201	best val: 159.26364313526201	time (s) spent in epoch: 30.45186734199524
epoch: 9	train ppl: 86.08814069306406	val ppl: 154.04185517851963	best val: 154.04185517851963	time (s) spent in epoch: 30.314329147338867
epoch: 10	train ppl: 73.19289024560322	val ppl: 161.63027958725482	best val: 154.04185517851963	time (s) spent in epoch: 30.625937700271606
epoch: 11	train ppl: 63.08926931354908	val ppl: 168.87239275841964	best val: 154.04185517851963	time (s) spent in epoch: 30.410507440567017
epoch: 12	train ppl: 54.506202824873974	val ppl: 176.98464920472603	best val: 154.04185517851963	time (s) spent in epoch: 30.32060670852661
epoch: 13	train ppl: 47.17015361568738	val ppl: 189.69815765391834	best val: 154.04185517851963	time (s) spent in epoch: 30.32810354232788
epoch: 14	train ppl: 41.105085680034165	val ppl: 203.88325685942985	best val: 154.04185517851963	time (s) spent in epoch: 30.154226541519165
epoch: 15	train ppl: 35.92404311699614	val ppl: 228.69240129944237	best val: 154.04185517851963	time (s) spent in epoch: 30.582594394683838
epoch: 16	train ppl: 31.42884258918747	val ppl: 244.34173282073482	best val: 154.04185517851963	time (s) spent in epoch: 30.41979146003723
epoch: 17	train ppl: 28.092449761276267	val ppl: 270.3711888893496	best val: 154.04185517851963	time (s) spent in epoch: 30.25440549850464
epoch: 18	train ppl: 25.352175462991607	val ppl: 288.8215792748956	best val: 154.04185517851963	time (s) spent in epoch: 30.3765709400177
epoch: 19	train ppl: 22.06277037416116	val ppl: 325.81839228389305	best val: 154.04185517851963	time (s) spent in epoch: 30.3215172290802
epoch: 20	train ppl: 19.572169839459367	val ppl: 353.23941092650165	best val: 154.04185517851963	time (s) spent in epoch: 30.355966567993164
epoch: 21	train ppl: 18.083755889817382	val ppl: 423.07698711633344	best val: 154.04185517851963	time (s) spent in epoch: 30.342451333999634
epoch: 22	train ppl: 16.30968163215352	val ppl: 453.2499563101161	best val: 154.04185517851963	time (s) spent in epoch: 30.32857632637024
epoch: 23	train ppl: 14.40189618351518	val ppl: 493.60493312598294	best val: 154.04185517851963	time (s) spent in epoch: 30.288233518600464
epoch: 24	train ppl: 13.354064373500325	val ppl: 546.9869156501793	best val: 154.04185517851963	time (s) spent in epoch: 30.36529302597046
epoch: 25	train ppl: 12.361987489611515	val ppl: 615.2285848693534	best val: 154.04185517851963	time (s) spent in epoch: 30.30713129043579
epoch: 26	train ppl: 10.99139228260356	val ppl: 705.3380956170706	best val: 154.04185517851963	time (s) spent in epoch: 30.447474241256714
epoch: 27	train ppl: 10.252327835891828	val ppl: 712.9898515963489	best val: 154.04185517851963	time (s) spent in epoch: 30.40731954574585
epoch: 28	train ppl: 9.423751611420466	val ppl: 821.2317085838117	best val: 154.04185517851963	time (s) spent in epoch: 30.346633195877075
epoch: 29	train ppl: 8.79283841365099	val ppl: 1011.3842246851879	best val: 154.04185517851963	time (s) spent in epoch: 30.30731225013733
epoch: 30	train ppl: 8.305815390883234	val ppl: 1048.0768706896545	best val: 154.04185517851963	time (s) spent in epoch: 30.522541046142578
epoch: 31	train ppl: 7.640858986176017	val ppl: 1106.933115959479	best val: 154.04185517851963	time (s) spent in epoch: 30.320396423339844
epoch: 32	train ppl: 7.128488181500492	val ppl: 1107.3181666169778	best val: 154.04185517851963	time (s) spent in epoch: 30.317001819610596
epoch: 33	train ppl: 6.63068450402111	val ppl: 1340.7068205289354	best val: 154.04185517851963	time (s) spent in epoch: 30.96129322052002
epoch: 34	train ppl: 6.565092348138094	val ppl: 1317.7936259491282	best val: 154.04185517851963	time (s) spent in epoch: 30.65849494934082
epoch: 35	train ppl: 5.96503651590679	val ppl: 1617.0660338026244	best val: 154.04185517851963	time (s) spent in epoch: 30.3382351398468
epoch: 36	train ppl: 5.699666700578303	val ppl: 1709.427074465764	best val: 154.04185517851963	time (s) spent in epoch: 30.401513814926147
epoch: 37	train ppl: 5.394694773015243	val ppl: 1916.3608058094487	best val: 154.04185517851963	time (s) spent in epoch: 30.33379554748535
epoch: 38	train ppl: 5.235503766231005	val ppl: 2026.3225536844755	best val: 154.04185517851963	time (s) spent in epoch: 31.094834089279175
epoch: 39	train ppl: 4.961962446860589	val ppl: 2110.189365230679	best val: 154.04185517851963	time (s) spent in epoch: 32.60791015625
